Date,SP500,VIXCLS,DJIA,HY_BOND_IDX
2021-03-05,3841.94,24.66,31496.3,623.72
2021-03-08,3821.35,25.47,31802.44,620.96
2021-03-09,3875.44,24.03,31832.74,621.93
2021-03-10,3898.81,22.56,32297.02,623.46
2021-03-11,3939.34,21.91,32485.59,624.14
2021-03-12,3943.34,20.69,32778.64,619.65
2021-03-15,3968.94,20.03,32953.46,620.85
2021-03-16,3962.71,19.79,32825.95,620.5
2021-03-17,3974.12,19.23,33015.37,619.69
2021-03-18,3915.46,21.58,32862.3,616.7
2021-03-19,3913.1,20.95,32627.97,616.79
2021-03-22,3940.59,18.88,32731.2,619.04
2021-03-23,3910.52,20.3,32423.15,620.83
2021-03-24,3889.14,21.2,32420.06,621.69
2021-03-25,3909.52,19.81,32619.48,621.69
2021-03-26,3974.54,18.86,33072.88,620.4
2021-03-29,3971.09,20.74,33171.37,618.26
2021-03-30,3958.55,19.61,33066.96,618.59
2021-03-31,3972.89,19.4,32981.55,618.96
2021-04-01,4019.87,17.33,33153.21,622.37
2021-04-05,4077.91,17.91,33527.19,621.17
2021-04-06,4073.94,18.12,33430.24,623.62
2021-04-07,4079.95,17.16,33446.26,624.04
2021-04-08,4097.17,16.95,33503.57,625.05
2021-04-09,4128.8,16.69,33800.6,624.0
2021-04-12,4127.99,16.91,33745.4,623.69
2021-04-13,4141.59,16.65,33677.27,625.7
2021-04-14,4124.66,16.99,33730.89,625.56
2021-04-15,4170.42,16.57,34035.99,629.92
2021-04-16,4185.47,16.25,34200.67,627.7
2021-04-19,4163.26,17.29,34077.63,626.38
2021-04-20,4134.94,18.68,33821.3,627.52
2021-04-21,4173.42,17.5,34137.31,627.62
2021-04-22,4134.98,18.71,33815.9,628.28
2021-04-23,4180.17,17.33,34043.49,628.17
2021-04-26,4187.62,17.64,33981.57,628.36
2021-04-27,4186.72,17.56,33984.93,626.33
2021-04-28,4183.18,17.28,33820.38,626.59
2021-04-29,4211.47,17.61,34060.36,625.84
2021-04-30,4181.17,18.61,33874.85,626.2
2021-05-03,4192.66,18.31,34113.23,627.68
2021-05-04,4164.66,19.48,34133.03,628.2
2021-05-05,4167.59,19.15,34230.34,628.74
2021-05-06,4201.62,18.39,34548.53,629.75
2021-05-07,4232.6,16.69,34777.76,629.44
2021-05-10,4188.43,19.66,34742.82,628.62
2021-05-11,4152.1,21.84,34269.16,627.39
2021-05-12,4063.04,27.59,33587.66,624.18
2021-05-13,4112.5,23.13,34021.45,625.66
2021-05-14,4173.85,18.81,34382.13,627.59
